City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
540,Kudahuvadhoo,MV,27.8,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
542,Hirara,JP,29.15,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
544,Boa Vista,BR,24.99,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
546,Sena Madureira,BR,24.72,clear sky,-9.0656,-68.6569,Hotel Central
547,Fairhaven,US,29.47,clear sky,41.6376,-70.9036,Fairfield Inn & Suites by Marriott New Bedford
548,Kharhial,IN,26.72,overcast clouds,20.2833,82.7667,Jeevan Chhaya
549,Karur,IN,25.01,overcast clouds,10.95,78.0833,Hotel Valluvar
551,Okha,RU,22.05,clear sky,53.5739,142.9478,Империя
556,Dangriga,BZ,29.98,clear sky,16.9692,-88.2321,Chaleanor Hotel
557,Inirida,CO,23.0,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
561,Angoche,MZ,22.78,few clouds,-16.2325,39.9086,Guest House HESADA
565,Garowe,SO,23.72,few clouds,8.4054,48.4845,Curubo Hotel
566,Curaca,BR,23.15,scattered clouds,-8.9903,-39.9094,Hotel Recanto Campestre
571,Manokwari,ID,28.01,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
575,Luorong,CN,26.73,overcast clouds,24.4058,109.6086,荣立大酒店
576,Ciudad Bolivar,VE,26.23,overcast clouds,8.1222,-63.5497,Hotel Edi
578,Sambava,MG,20.37,few clouds,-14.2667,50.1667,Melrose
581,Laurel,US,24.71,thunderstorm,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
582,Kralendijk,BQ,27.99,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
583,Poso,ID,28.95,few clouds,-1.3959,120.7524,Hotel 77 Poso
584,Preobrazheniye,RU,20.27,clear sky,42.9019,133.9064,Campsite Orlan
585,Jasper,US,27.03,broken clouds,37.2001,-94.3502,Guest House Motel
586,Maragogi,BR,21.9,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
587,Baculin,PH,28.7,overcast clouds,7.4525,126.5842,Shovy's Cove
589,Arroyo,ES,23.97,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
590,Sabang,ID,27.03,overcast clouds,5.8933,95.3214,Hotel Citra
595,Urusha,RU,20.65,few clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
596,Bubaque,GW,26.38,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
598,Pitimbu,BR,22.33,clear sky,-7.4706,-34.8086,Reserva do Abiaí
599,Wajima,JP,23.38,broken clouds,37.4,136.9,Wajiima Onsen Yashio
603,Sao Francisco,BR,21.32,clear sky,-15.9486,-44.8644,Hotel Supremo
604,San Cristobal,VE,20.1,broken clouds,7.7669,-72.225,Posada Villaven C.A.
609,Along,IN,23.61,overcast clouds,28.1667,94.7667,Hotel West
610,Asfi,MA,25.71,broken clouds,32.2994,-9.2372,Hôtel Abda
611,Road Town,VG,29.05,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
612,Pedernales,DO,27.83,overcast clouds,18.0384,-71.744,Hotel Costa Marina
614,San Andres,CO,28.01,overcast clouds,12.5847,-81.7006,Hotel Arena Blanca
616,Neryungri,RU,20.56,clear sky,56.6709,124.6491,Pyat' Zvozd
618,Tual,ID,26.78,broken clouds,-5.6667,132.75,Grand Vilia Hotel
624,Saint-Joseph,RE,20.21,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
625,Tutoia,BR,26.2,few clouds,-2.7619,-42.2744,Pousada Guará's
627,Luganville,VU,24.89,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
628,Cartagena,CO,27.79,drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
633,Daru,PG,25.58,overcast clouds,-9.0763,143.2092,Daru Lodge
634,Mackay,AU,24.47,overcast clouds,-21.15,149.2,International Lodge Motel
637,Pontianak,ID,23.99,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
641,Altamira,BR,21.78,overcast clouds,-3.2033,-52.2064,Requinte Hotel
642,Cedar City,US,26.54,broken clouds,37.6775,-113.0619,Hampton Inn Cedar City
643,Banes,CU,26.34,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
647,Tecoanapa,MX,28.04,overcast clouds,16.5167,-98.75,Hotel Manglares
648,Tianpeng,CN,26.26,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
652,Nieuw Amsterdam,SR,26.01,scattered clouds,5.8833,-55.0833,Globe Hotel
653,Turayf,SA,24.14,clear sky,31.6725,38.6637,Turaif
654,Southbridge,US,29.06,few clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
657,Majene,ID,27.03,scattered clouds,-3.5403,118.9707,Kost Putri RABBANI
659,Tainan,TW,26.95,moderate rain,22.9908,120.2133,Tie Dao Hotel
664,Freising,DE,20.74,clear sky,48.4035,11.7488,Isar Hotel
666,Chauk,MM,26.87,overcast clouds,20.8833,94.8167,Bo Khin Guest House
669,Callaguip,PH,27.01,broken clouds,18.0714,120.4867,Pangil Beach Resort
670,Kurumkan,RU,20.44,few clouds,54.3,110.3,Ilikchin
672,Port Hedland,AU,20.03,clear sky,-20.3167,118.5667,The Esplanade Hotel
673,Palembang,ID,24.05,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
676,Praia Da Vitoria,PT,23.2,broken clouds,38.7333,-27.0667,Hotel Branco I
678,Isangel,VU,26.06,scattered clouds,-19.55,169.2667,Tanna Lodge
683,Sheffield Lake,US,23.97,broken clouds,41.4875,-82.1015,Fairfield Inn & Suites by Marriott Cleveland Avon
685,Madison,US,27.65,broken clouds,34.7334,-86.5667,Embassy Suites by Hilton Huntsville Hotel & Spa
688,Lazaro Cardenas,MX,27.74,clear sky,17.9583,-102.2,quinta antigua
690,Huilong,CN,23.91,light rain,31.8111,121.655,Hilton Garden Inn Qidong
692,Platanos,GR,27.38,clear sky,37.6667,21.6167,Hotel Kronio
693,Nazilli,TR,21.01,clear sky,37.9163,28.3223,Gül Palast
694,Zhuzhou,CN,23.07,overcast clouds,27.8333,113.15,Feifan Chengpin Hotel Shanmutang
696,Laguna De Perlas,NI,26.64,overcast clouds,12.3429,-83.6712,Hotel Best View
697,Dawei,MM,24.87,overcast clouds,14.0833,98.2,Hotel Dawei
698,Dakar,SN,28.07,scattered clouds,14.6937,-17.4441,Redface Studios Meublés
699,Lishui,CN,27.94,overcast clouds,28.4604,119.9103,Bayi Hotel
700,Zhigalovo,RU,20.47,overcast clouds,54.8097,105.1578,"Hotel ""Lenatur"""
701,Contamana,PE,28.05,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
702,Prince Rupert,CA,21.05,broken clouds,54.3161,-130.3201,Crest Hotel
703,Shache,CN,23.47,overcast clouds,38.4167,77.2406,Delong Hotel
704,Gat,IL,28.55,clear sky,31.61,34.7642,OlusHome
705,Sakaiminato,JP,22.99,broken clouds,35.55,133.2333,味処・民宿 まつや
706,Hervey Bay,AU,22.06,clear sky,-25.2986,152.8535,Shelly Bay Resort
711,Deseronto,CA,25.89,overcast clouds,44.2001,-77.0494,Mohawk Bay Trailer Park
712,Pombas,CV,23.88,clear sky,17.1503,-25.0201,Paul Paradis
713,La Ronge,CA,27.12,few clouds,55.1001,-105.2842,Northland Motor Hotel
714,Tochio,JP,21.22,overcast clouds,37.4667,139.0,大倉割烹旅館
